name,address,latitude,longitude
Spicy's Bar,141 Rowan Boulevard,39.7044754,-75.11275479999999
Soi 705,705 The Parkway,46.27526049999999,-119.2746563
Salt Fire,2199 S W Temple St ,40.7227942,-111.8935841
Chandler Service Plaza,MILE 169 Turner Turnpike I-44,35.7478321,-96.7203927
Veggie Grill,2533 Pacific Coast Hwy,33.7908472,-118.3287071
Hop Knot,1000 Elm St,42.9926726,-71.46425789999999
Manchester True Collaborative,72 Concord Street,42.992943,-71.4611256
My Eye Dr,6th Ave,40.8316768,-80.3221654
Starbucks ,1209 Richmond Avenue Staunton Shoppes,38.1330066,-79.0411865
Publix Super Market at Montclair Place,1325 Montclair Road,33.5210011,-86.7311855
Kwik Trip,1821 S Main St,45.4812808,-91.733309
Coochin St Public toilet,11 Coochin St ,-26.8459869,152.8854143
Peabody hights brewery ,e 30th st,39.3226306,-76.6031186
Athol ER,Main st.,42.5898471,-72.2157576
Chipotle,109 Community St,38.1273525,-78.44152729999999
The Daily Bean,514 route 515 ,41.1936348,-74.48493409999999
Hale Pele,2733 NE Broadway ,45.53527889999999,-122.6373592
North Berkeley Bart Station,1750 Sacramento Street,37.8739693,-122.2834446
Pittsburgh Ramen Bar,5860 Forbes Ave,40.4378889,-79.9205891
Melia Hill Westbound Rest Area ,Interstate 80 westbound 431.6 milepost ,41.1291497,-96.1857749
Walmart Supercenter,1606 S 72nd St,41.2442329,-96.0248969
Wagamama,Market Street,51.7530482,-1.2571929
City Barbecue,6755 Dixie Hwy,39.3178914,-84.49525299999999
Valley Public House,12960 SE 162nd Ave,45.4285298,-122.4963986
Shell gas station ,100-104 N Main Street ,41.0040765,-96.1617298
Walmart Supercenter ,1606 S 72nd Street ,41.2442329,-96.0248969
Casey Gas Station,308 N Washington St.,42.4364652,-92.9247262
Sainsbury’s ,Commercial Road ,55.425597,-2.7879078
Greggs ,High street ,55.4230603,-2.7864174
Costa ,52 High Street ,55.4230734,-2.7861203
Burning Bridges ,14544 W Center RD,41.2357959,-96.1420533
Chippy’s,2718 S 123rd CT,41.2333738,-96.1061652
Library Millard Branch ,13214 Westwood Lane,41.2280471,-96.1207165
Mcdonalds,797 first street,37.0138052,-121.5862978
Kohl’s,1200 N Fry Rd,29.7869104,-95.7183697
The NewBridge Project,"Clarence Walk, Shieldfield Centre 4 - 8, off Stoddart St",54.9778435,-1.599251
Foxie Salon and Studio ,270 Union Square NW ,35.7325007,-81.34211499999999
Waterstones,"1-5 Bridlesmith Gate, NG1 2GR",52.9524981,-1.147034
Dollar General,2605 Country Club Rd,36.0971775,-81.176017
Dollar General,1302 W D St,36.1598861,-81.153764
Dollar General,103 Bumgarner St,36.1547791,-81.24022819999999
Dollar General,1528 W D St,36.1552776,-81.1715102
Dollar General,2818 US-421,36.15032,-81.20823
Dollar General,180 Brookfall Dairy Rd,36.2889398,-80.8555771
Dollar General,3312 NC-8,36.2657534,-80.2238095
Dollar General,440 Mountain View Rd,36.2989717,-80.3314506
Dollar General,4864 NC-8,36.4930402,-80.23089039999999
Dollar General,1045 Dodgetown Rd,36.3709114,-80.18254820000001
Starbucks,1611 Brewer Rd,36.05529860000001,-80.2584905
Starbucks,2015 Frontis Plaza Blvd,36.0619665,-80.30405259999999
Starbucks,605 Jonestown Rd,36.0708468,-80.33890559999999
Starbucks,1476 Jag Branch Blvd,36.079594,-80.10608599999999
Starbucks,1020 S Main St,36.1085479,-80.09735789999999
Starbucks,3331 Robinhood Rd,36.1163947,-80.31258799999999
Starbucks,2898 Reynolda Rd,36.1439905,-80.3006266
Starbucks,2835 Reynolda Rd,36.1458252,-80.29853039999999
Starbucks,5420 University Pkwy,36.1680699,-80.2793469
Starbucks,5980 University Pkwy,36.1879064,-80.2768416
Starbucks,1996 Rockford St,36.4799981,-80.6166829
Starbucks,543 CC Camp Rd,36.2784562,-80.8339199
Starbucks,1921 A W. US Highway 421,36.1500895,-81.1989992
Starbucks,2251 US-70 SE,35.7247093,-81.4670426
Starbucks,204 US-321 N,35.73530909999999,-81.3649708
Starbucks,1186 Lenoir Rhyne Blvd SE,35.7157111,-81.3139602
Starbucks,2395 Springs Rd NE,35.7529892,-81.2877051
Starbucks,1342 Second St NE,35.751127,-81.3357865
Starbucks,81 Rink Dam Rd,35.8157983,-81.3072411
Bertilone's Classic Italian Restaurant,209 Supercenter Dr ,33.144253,-86.7504611
The Forum Shops,3500 S Las Vegas Blvd,36.12747820000001,-115.1717047
REI CO-OP,Teaster Lane,35.8006271,-83.5640363
Hull Royal Infirmary,Anlaby Road,53.7437496,-0.3772475
I-81 NB Welcome Center,1874 I-81,39.3209579,-78.0707736
West Michigan Center for Arts and Technology ,614 First St NW,42.9717723,-85.6832191
Niagara falls community health centre,4790 Victoria Ave,43.1050306,-79.0727823
"Alber Student Center, The Ohio State University at Marion",1463 Mt. Vernon Ave.,40.577746,-83.0906467
Planet Fitness,210 FM 1960 Bypass Rd East,30.0030756,-95.2660652
"8215 Heartland Forest Rd, Niagara Falls, ON L2H 0L5, Canada",8215 Heartland Forest Rd,43.0548857,-79.1326272
Stars and Strikes,600 Coastal Grand Cir,33.7028056,-78.92403089999999
"WC - Toilettes Publiques (0,50€)",128 Bd de Lattre de Tassigny,43.136874,6.367622
Part Time Lover,Paul Kelly Lane,-34.9264203,138.6007498
Rita’s,649 W Imperial Hwy unit J,33.917691,-117.907833
Panda Express,2740 41st Ave BLDG C,36.9868888,-121.9645864
South Entrance Ichetucknee Springs state park,12087 SW US HW 27 ,29.9513572,-82.775919
University of Florida Steinmetz Hall,1881 Natural Area Dr,29.6347471,-82.3666571
